time, price, volume
0, 3564, 16936
1, 3565, 11539
2, 3569, 20771
3, 3568, 14103
4, 3570, 15582
5, 3570, 18665
6, 3570, 22423
7, 3570, 13853
8, 3570, 16218
9, 3569, 17358
10, 3568, 14370
11, 3568, 10655
12, 3568, 12542
13, 3568, 14025
14, 3568, 16638
15, 3568, 17940
16, 3569, 19436
17, 3566, 14396
18, 3565, 17473
19, 3565, 20478
20, 3565, 20367
21, 3566, 16090
22, 3568, 22312
23, 3569, 11122
24, 3569, 18696
25, 3569, 17243
26, 3570, 11058
27, 3571, 12433
28, 3571, 14787
29, 3571, 15989
30, 3570, 21807
31, 3570, 21508
32, 3571, 13971
33, 3571, 25261
34, 3571, 13081
35, 3572, 12507
36, 3572, 16724
37, 3572, 25460
38, 3571, 16371
39, 3570, 15362
40, 3570, 16206
41, 3570, 16246
42, 3570, 16615
43, 3570, 22892
44, 3570, 11466
45, 3569, 14074
46, 3568, 14680
47, 3569, 13402
48, 3570, 12427
49, 3571, 18055
50, 3571, 15247
51, 3571, 18809
52, 3570, 15535
53, 3569, 15920
54, 3569, 15816
55, 3569, 15222
56, 3569, 12462
57, 3569, 16681
58, 3569, 16612
59, 3569, 18464
60, 3569, 17704
61, 3569, 16022
62, 3569, 14853
63, 3569, 16262
64, 3569, 18941
65, 3570, 13456
66, 3570, 13766
67, 3570, 17634
68, 3570, 13935
69, 3570, 14285
70, 3570, 17017
71, 3570, 13920
72, 3572, 13552
73, 3572, 17867
74, 3571, 17694
75, 3572, 17107
76, 3571, 13617
77, 3571, 17755
78, 3572, 13909
79, 3572, 12685
80, 3572, 15844
81, 3573, 15811
82, 3573, 15382
83, 3573, 15792
84, 3573, 16589
85, 3573, 18266
86, 3573, 16731
87, 3573, 17303
88, 3573, 19405
89, 3573, 21078
90, 3575, 15793
91, 3575, 14003
92, 3575, 14167
93, 3575, 14933
94, 3574, 14109
95, 3575, 13689
96, 3575, 13066
97, 3575, 13773
98, 3575, 14161
99, 3575, 15700
100, 3575, 16710
101, 3574, 17622
102, 3574, 16028
103, 3575, 11761
104, 3576, 8523
105, 3580, 20960
106, 3580, 18155
107, 3580, 19283
108, 3581, 13218
109, 3581, 17625
110, 3580, 12838
111, 3579, 13867
112, 3579, 13534
113, 3580, 14735
114, 3581, 11179
115, 3582, 14569
116, 3584, 17236
117, 3584, 17494
118, 3584, 13755
119, 3584, 15670
120, 3584, 15845
121, 3584, 12135
122, 3584, 14119
123, 3585, 12430
124, 3586, 12479
125, 3588, 17499
126, 3588, 13532
127, 3590, 12613
128, 3589, 14987
129, 3592, 14189
130, 3593, 13652
131, 3593, 19845
132, 3591, 13265
133, 3591, 15184
134, 3591, 18559
135, 3591, 13602
136, 3591, 14625
137, 3592, 15323
138, 3592, 14193
139, 3593, 12609
140, 3594, 15495
141, 3594, 15912
142, 3594, 17812
143, 3593, 14873
144, 3593, 18168
145, 3593, 15738
146, 3593, 17174
147, 3593, 16854
148, 3593, 15079
149, 3592, 13849
150, 3591, 16313
151, 3591, 13926
152, 3591, 18723
153, 3591, 15936
154, 3592, 17580
155, 3591, 13504
156, 3591, 17050
157, 3591, 17876
158, 3592, 11980
159, 3590, 16277
160, 3590, 16966
161, 3589, 15204
162, 3593, 16102
